,INTERACTOR_A,INTERACTOR_B
720,BCLAF1,RPS9
721,AHNAK,RUVBL1
722,AHNAK,SEC16A
723,AHNAK,STIP1
724,RIF1,THOC6
725,BCLAF1,THRAP3
726,AHNAK,VARS
727,AHNAK,YARS
728,SFN,PLEC
729,NTRK1,BCLAF1
730,NTRK1,POLE
731,NTRK1,PHKB
732,NTRK1,MSH6
733,MUS81,CDK5RAP2
734,PTTG1,CDK5RAP2
735,TP53,USH2A
736,HSPB2,MYOM2
737,FRS3,TNS1
738,MMP14,SPOCK3
739,PTEN,PLEC
740,PLK4,CDK5RAP2
741,CEP192,CDK5RAP2
742,CEP152,CDK5RAP2
743,CDK5RAP2,CEP152
744,gag,AHNAK
745,MED4,AHNAK
746,MED4,MED13
747,MED23,MED13
748,MED4,MED13
749,MED4,BCLAF1
750,MED23,PHKB
751,HERC2,PHKB
752,HERC2,PHKB
753,SRPK2,BCLAF1
754,CLK1,ASXL3
755,LCA5,CELSR2
756,RPGRIP1L,CDK5RAP2
757,CEP19,MSH6
758,TMEM17,ROR2
759,TMEM216,ROR2
760,XPO1,FYCO1
761,XPO1,BCLAF1
762,HIST1H3E,BCLAF1
763,AHSA1,BCLAF1
764,MSH6,DECR1
765,BCLAF1,FMR1
766,MSH6,H3F3A
767,BCLAF1,PRMT1
768,ADD1,HSPG2
769,TMPO,HSPG2
770,PTTG1,HSPG2
771,CCDC22,HSPG2
772,GAR1,HSPG2
773,KIF7,HSPG2
774,MSH6,MSH2
775,MSH6,PCNA
776,PHKG2,PHKB
777,BUB1,PLEC
778,CAPZA2,PLEC
779,FLNA,PLEC
780,MYH9,PLEC
781,PPP1CB,PLEC
782,NIPSNAP1,PLEC
783,IQGAP1,PLEC
784,PDLIM7,PLEC
785,SYNPO,PLEC
786,MAPRE1,PLEC
787,PHF8,PLEC
788,LIMA1,PLEC
789,ANLN,PLEC
790,MYO19,PLEC
791,MYO18A,PLEC
792,FYCO1,PPL
793,MSH6,STX3
794,BCLAF1,DDX39B
795,BCLAF1,FXR1
796,BCLAF1,PABPN1
797,BCLAF1,THOC5
798,MSH6,AKR7A2
799,BCLAF1,SRSF9
800,BCLAF1,APOBEC3B
801,CDK2,BCLAF1
802,PDGFRB,BCLAF1
803,THOC1,BCLAF1
804,MYH7B,BCLAF1
805,CDKN2AIPNL,BCLAF1
806,MSH6,RUSC2
807,BCLAF1,ZC3H11A
808,BCLAF1,THRAP3
809,CDK8,MED13
810,MED12,MED13
811,BCLAF1,THOC1
812,MSH6,PARP2
813,BCLAF1,ALYREF
814,BCLAF1,SPEN
815,BCLAF1,KIAA1429
816,BCLAF1,CHTOP
817,BCLAF1,PPHLN1
818,BCLAF1,CDK12
819,PPP1CB,RIF1
820,PPP1CC,RIF1
821,PHF8,RIF1
822,ASF1A,RIF1
823,FYCO1,DDX60
824,PCNT,CDK5RAP2
825,PRKAR2B,CDK5RAP2
826,DYNLL1,CDK5RAP2
827,FGFR1OP,CDK5RAP2
828,MAPRE1,CDK5RAP2
829,USP43,CDK5RAP2
830,CHMP4B,CDK5RAP2
831,FYCO1,GOPC
832,MSH6,KIAA1191
833,BCLAF1,THOC2
834,MSH6,CHD8
835,CAPZA2,AHNAK
836,HSPA5,AHNAK
837,MYH9,AHNAK
838,STRN,AHNAK
839,LIMA1,AHNAK
840,MYO19,AHNAK
841,TUBA1C,AHNAK
842,BCLAF1,THOC6
843,PAX6,FYCO1
844,FYCO1,NOL9
845,BCLAF1,THOC7
846,BCLAF1,POLDIP3
847,FYCO1,POLDIP3
848,BCLAF1,THOC3
849,FYCO1,ADO
850,FYCO1,RFT1
851,HUWE1,AHNAK2
852,BCLAF1,RBMXL1
853,MSH6,BRINP1
854,Eif3i,MSH6
855,Id2,HSPG2
856,Espn,HSPG2
857,Shoc2,HSPG2
858,Pxdc1,HSPG2
859,Vps28,HSPG2
860,Heatr2,HSPG2
861,Ppp1r3b,PHKB
862,Myh9,PLEC
863,Lima1,PLEC
864,Calml3,PLEC
865,Cep78,PLEC
866,Flnb,PLEC
867,Psmb5,BCLAF1
868,Uso1,BCLAF1
869,Prkaa1,BCLAF1
870,Srsf1,BCLAF1
871,Dennd6a,BCLAF1
872,Med22,MED13
873,Sesn2,SZT2
874,Bmpr1a,RIF1
875,Ppp1cb,RIF1
876,Ncstn,RIF1
877,Tmed10,RIF1
878,Heatr2,RIF1
879,Mapre1,CDK5RAP2
880,Prkacb,CDK5RAP2
