,INTERACTOR_A,INTERACTOR_B
832,ATM,SMAD7
833,ATM,MAPK14
834,HUWE1,ATM
835,FBXO6,FBN2
836,CUL9,UBE2L3
837,TOP1,ATM
838,UBXN6,DST
839,ATM,XPA
840,PLK3,SNCA
841,PLK3,SNCB
842,FANCI,APP
843,BCAT2,APP
844,SULF1,APP
845,AHDC1,APP
846,A2M,TYRO3
847,APOE,TYRO3
848,Htt,FBN2
849,POLE,POLE3
850,POLE,POLE2
851,FLNA,FLNB
852,POLE,PRIM1
853,ITGB4,PLEC
854,ACTA2,MYH11
855,MDN1,PELP1
856,ACTB,MYH11
857,FLNA,MYH9
858,NCSTN,NUMA1
859,DDX1,HMCN1
860,EEFSEC,TRPT1
861,FLNA,LGALS1
862,JUP,PLEC
863,FLNA,ILF2
864,MDN1,TEX10
865,DDB1,NUMA1
866,DBN1,FLNA
867,AHNAK,HNRNPD
868,CPLX1,FLNA
869,MDN1,TUBB3
870,FLNA,GNN
871,FLNA,RANBP2
872,PRMT5,DST
873,DSTN,MYH11
874,TYRO3,HDLBP
875,AGL,GLO1
876,MDN1,SRP19
877,FLNA,SRRM2
878,FLNA,SRSF11
879,NOMO1,PLEC
880,FLNA,RBM39
881,MYH11,MYO1E
882,MTDH,PLEC
883,AHNAK2,KRT10
884,PLEC,TRA2A
885,FLNA,IKBIP
886,FLNA,TRA2B
887,EIF3A,MYH11
888,POTEKP,DST
889,HNRNPL,PLEC
890,GNAI2,PLEC
891,DAK,AGL
892,PLEC,SLTM
893,PLEC,UQCRC1
894,MAX,KMT2D
895,NUDT21,EEFSEC
896,MDN1,SET
897,ATM,ATM
898,ATM,CDKN2C
899,ATM,CDKN2C
900,ESR1,FLNA
901,ESR1,NUMA1
902,ESR1,AHNAK
903,ESR1,PLEC
904,DMD,AHNAK
905,BRCA1,USH2A
906,BRCA1,FLNA
907,ATM,CHEK1
908,ECT2,FLNA
909,ECT2,NUMA1
910,LIG4,FLNA
911,MDC1,FLNA
912,MDC1,NUMA1
913,TP53BP1,FLNA
914,TP53BP1,NUMA1
915,CBX5,AHDC1
916,NOTCH1,MDN1
917,TSGA10,PLEC
918,TSGA10,FLNA
919,ATM,TP53
920,ATM,ATM
921,ATM,CHEK2
922,ATM,ATM
923,IKBKAP,FLNA
924,IKBKAP,FLNA
925,UBC,MDN1
926,USP36,TRIM26
927,SMURF1,NUMA1
928,SMURF1,FLNA
929,AHNAK,FMNL1
930,FMNL1,AHNAK
931,FMNL1,AHNAK
932,FMNL1,PLEC
933,VCP,ADD1
934,VCP,FANCI
935,VCP,HEATR1
936,VCP,MDN1
937,VCP,NUMA1
938,VCP,PLEC
939,PER3,ATM
940,ATM,CHEK2
941,ATM,TP53
942,ATM,DAXX
943,ATM,TERF2
944,ATM,TERF2
945,ATM,TERF1
946,ATM,SPSB1
947,ATM,SPSB1
948,HSP90AA1,FLNA
949,HSP90AB1,FLNA
950,HSP90AB1,NUMA1
951,HSP90AA1,NUMA1
952,BTK,FLNA
953,ALB,ATM
954,ALB,DGKG
955,ALB,PEG3
956,MYC,PDZD2
957,MYC,FLNA
958,VCAM1,PLEC
959,FN1,PLEC
960,FN1,MDN1
961,FN1,AHNAK
962,FN1,HSPG2
963,FN1,FLNA
964,VCAM1,FLNA
965,VCAM1,HEATR1
966,HSP90AA1,TYRO3
967,CDK6,NUMA1
968,ATF2,AHNAK
969,IQCB1,ITGA11
970,IQCB1,FLNA
971,GRB2,FLNA
972,MTNR1A,FLNA
973,NOS2,PLEC
974,SYNPO2,FLNA
975,SMAD9,KMT2D
