,INTERACTOR_A,INTERACTOR_B
803,HDAC7,MEF2C
804,HDAC7,HDAC4
805,HDAC4,YWHAB
806,YWHAB,HDAC4
807,NCOR1,HDAC4
808,NCOR1,HDAC4
809,HDAC4,RL2
810,HDAC4,RL2
811,RL2,HDAC4
812,ZEB2,MTA1
813,ZEB2,MTA2
814,ZEB2,HDAC1
815,ZEB2,HDAC2
816,ZEB2,RBBP4
817,ZEB2,RBBP7
818,DNAJB6,HDAC4
819,PPP2R4,HDAC4
820,KDM5B,FOXG1
821,AHRR,HDAC4
822,CEBPD,HDAC4
823,BCORL1,HDAC4
824,PARK2,SYN1
825,HDAC4,NUP155
826,NUP155,HDAC4
827,NUP155,HDAC4
828,HDAC4,NUP155
829,ACTA1,HDAC4
830,NPPB,HDAC4
831,CACNA1C,HDAC4
832,HDAC4,ATXN1
833,EMD,SPTAN1
834,EMD,SPTAN1
835,EMD,HNRNPU
836,MORF4L1,HNRNPU
837,MORF4L2,HNRNPU
838,MRGBP,HNRNPU
839,HIC1,HDAC4
840,DOT1L,HNRNPU
841,NPM1,HNRNPU
842,MECP2,SP1
843,MECP2,SP3
844,SP3,MECP2
845,SOX2,MECP2
846,MECP2,SOX2
847,HDAC4,AR
848,AR,HDAC4
849,AR,HDAC4
850,HDAC4,AR
851,HDAC4,AR
852,FANCG,SPTAN1
853,SPTAN1,FANCC
854,SPTAN1,FANCF
855,SPTAN1,FANCG
856,HES1,SPTAN1
857,SMARCA2,MECP2
858,NHLRC1,PPP1R3C
859,PPP1R3C,EPM2A
860,MECP2,YY1
861,YY1,MECP2
862,YY1,MECP2
863,TERF1,SPTAN1
864,TERF2,MECP2
865,POT1,SPTAN1
866,H2AFX,CTSD
867,SPTAN1,ERCC4
868,ERCC4,SPTAN1
869,HDAC4,Twist1
870,UBC,PURA
871,UBC,HNRNPU
872,SCN8A,NEDD4
873,RYK,DYNC1H1
874,MYC,DYNC1H1
875,MYC,PPT1
876,MECP2,PPARG
877,POU5F1,PURA
878,UCHL5,CTSD
879,UCHL5,CTSD
880,WWOX,TNK2
881,SNW1,HNRNPU
882,PRKAA1,SIK1
883,YWHAZ,SIK1
884,AGO3,SPTAN1
